Date Enetered,Reference #,Need to be resolved by,Alert Found on:,Area Main DS,Agency DS,Line(s),Alert Title,Alert Text,Discuus what? / Resolution,Status?,Last updated:,by:,From:,To:,Publication Date:,Agency,Link to Agency relevant alert?,Agency Alert Number / reference Number
19/01/2020,7-100014-24-Editor-ALL,ASAP,Editor,7,100014,24,"Title:
Publication date: 16/01/2020 01:46
Agency: Golden Gate Transit
Lines: 24
Raw line numbers:
Alert type: Modified service","Southbound Monday - Friday Route 24X operates non-stop between Sir Francis Drake at College of Marin and the Golden Gate Bridge Toll Plaza. Route 24X operates via the Broadway Tunnel. Routes 24, 24C, and 24X no longer serve the San Anselmo Hub. Instead, board at Sir Francis Drake Bank. *Bus Pad times are approximate.
Northbound Monday - Friday Route 24X operates non-stop between the Golden Gate Bridge Toll Plaza and Sir Francis Drake at College of Marin. Route 24X operates via the Broadway Tunnel. Routes 24, 24C, and 24X no longer serve the San Anselmo Hub. Instead, buses drop off at Sir Francis Drake Bank. *Bus Pad times are approximate.
VAN NESS AVENUE CONSTRUCTION IMPACTS BUS STOPS SERVED
Ongoing construction on Van Ness Avenue in San Francisco is impacting GGT bus stops on Van Ness Ave. See below for a list of bus stops currently served by Golden Gate Transit buses. This information will change, so please check back often.

Southbound/drop-off stops on Van Ness Ave: Farside Filbert, Farside Broadway (not served by Broadway Tunnel trips), Nearside Washington, Farside Clay, Farside Bush, Nearside O #39;Farrell

Northbound/pick-up stops on Van Ness Ave: Farside Eddy, Farside O #39;Farrell, Farside Sutter, Farside Clay, Farside Jackson, Farside Vallejo, Nearside Union

There are NO changes to the bus stops at Chestnut Street.

STOP AT PERRY 4TH NOT SERVED UNTIL FURTHER NOTICE
The San Francisco drop-off bus stop at Perry 4th streets is under construction and will not be served until further notice. Until then, the last drop-off stop is at 4th Folsom streets.

NORTHBOUND STOP AT FOLSOM 2ND TEMPORARILY CLOSED
Until further notice (posted Oct. 10, 2019), the northbound pick-up stop at Folsom 2nd in San Francisco is temporarily CLOSED. During this time, passengers are directed to nearby stops at Perry 3rd and Fremont nearside Howard.

MLK DAY - GGT OPERATING REGULAR WEEKDAY SERVICE
On Martin Luther King Jr. Day, Monday, Jan. 20, 2020, Golden Gate Transit buses (including Ferry Shuttle Route 25) will operate regular weekday service. Visit our Bus Schedules Maps section for timetables and route maps.",,,,Yeashai,#VALUE!,#VALUE!,16/01/2020 1:46, Golden Gate Transit,https://www.goldengate.org/bus/route-schedule/fairfax/manor-san-francisco-24/?backurl=%2Fbus%2Fschedules-maps%2F,ALL
19/01/2020,7-100014- 24-Agency-1,ASAP,Agency,7,100014,24,Lines: 24,"Route 24X operates non-stop between Sir Francis Drake at College of Marin and the Golden Gate Bridge Toll Plaza. Route 24X operates via the Broadway Tunnel. Routes 24, 24C, and 24X no longer serve the San Anselmo Hub. Instead, board at Sir Francis Drake & Bank. *Bus Pad times are approximate.",Agency Updated,Resolved,19/01/2020 17:56,Yeashai,#VALUE!,#VALUE!,#VALUE!,#VALUE!,https://www.goldengate.org/bus/route-schedule/fairfax/manor-san-francisco-24/?backurl=%2Fbus%2Fschedules-maps%2F,1
19/01/2020,7-100014- 24-Agency-2,ASAP,Agency,7,100014,24,Lines: 24,"VAN NESS AVENUE CONSTRUCTION IMPACTS BUS STOPS SERVED
Ongoing construction on Van Ness Avenue in San Francisco is impacting GGT bus stops on Van Ness Ave. See below for a list of bus stops currently served by Golden Gate Transit buses. This information will change, so please check back often.

Southbound/drop-off stops on Van Ness Ave: Farside Filbert, Farside Broadway (not served by Broadway Tunnel trips), Nearside Washington, Farside Clay, Farside Bush, Nearside O'Farrell

Northbound/pick-up stops on Van Ness Ave: Farside Eddy, Farside O'Farrell, Farside Sutter, Farside Clay, Farside Jackson, Farside Vallejo, Nearside Union

There are NO changes to the bus stops at Chestnut Street.",Agency Updated,Resolved,19/01/2020 18:11,Yeashai,#VALUE!,#VALUE!,#VALUE!,#VALUE!,https://www.goldengate.org/bus/route-schedule/fairfax/manor-san-francisco-24/?backurl=%2Fbus%2Fschedules-maps%2F,2
19/01/2020,7-100014- 24-Agency-3,ASAP,Agency,7,100014,24,Lines: 24,"STOP AT PERRY & 4TH NOT SERVED UNTIL FURTHER NOTICE
The San Francisco drop-off bus stop at Perry & 4th streets is under construction and will not be served until further notice. Until then, the last drop-off stop is at 4th & Folsom streets.","STC : San Fransisco, Golden Gate Transit Stops: Perry St & 4th St & Folsom St & Second St are closed for all buses --UNTIL FURTHER NOTICE --. -Yeashai M.",Resolved,19/01/2020 18:11,Yeashai,#VALUE!,#VALUE!,#VALUE!,#VALUE!,https://www.goldengate.org/bus/route-schedule/fairfax/manor-san-francisco-24/?backurl=%2Fbus%2Fschedules-maps%2F,3
19/01/2020,7-100014- 24-Agency-4,ASAP,Agency,7,100014,24,Lines: 24,"GET GOLDEN GATE TRANSIT SERVICE ALERTS
Stay informed of Golden Gate Transit service alerts and trip cancellations by following @GoldenGateBus on Twitter and using Transit app! On Transit app, be sure to favorite your most frequent routes and enable push notifications. Learn the basics with this Transit app booklet. ",Content Not relevant,Resolved,19/01/2020 18:11,Yeashai,#VALUE!,#VALUE!,#VALUE!,#VALUE!,https://www.goldengate.org/bus/route-schedule/fairfax/manor-san-francisco-24/?backurl=%2Fbus%2Fschedules-maps%2F,4
19/01/2020,7-100014- 24-Agency-5,ASAP,Agency,7,100014,24,Lines: 24,"NORTHBOUND STOP AT FOLSOM & 2ND TEMPORARILY CLOSED
Until further notice (posted Oct. 10, 2019), the northbound pick-up stop at Folsom & 2nd in San Francisco is temporarily CLOSED. During this time, passengers are directed to nearby stops at Perry & 3rd and Fremont nearside Howard.

","STC : San Fransisco, Golden Gate Transit Stops: Perry St & 4th St & Folsom St & Second St are closed for all buses --UNTIL FURTHER NOTICE --. -Yeashai M.",Resolved,19/01/2020 18:11,Yeashai,#VALUE!,#VALUE!,#VALUE!,#VALUE!,https://www.goldengate.org/bus/route-schedule/fairfax/manor-san-francisco-24/?backurl=%2Fbus%2Fschedules-maps%2F,5
19/01/2020,7-100014- 24-Agency-6,ASAP,Agency,7,100014,24,Lines: 24,"MLK DAY - GGT OPERATING REGULAR WEEKDAY SERVICE
On Martin Luther King Jr. Day, Monday, Jan. 20, 2020, Golden Gate Transit buses (including Ferry Shuttle Route 25) will operate regular weekday service. Visit our Bus Schedules & Maps section for timetables and route maps. ",Not Relevant,Resolved,19/01/2020 18:11,Yeashai,#VALUE!,#VALUE!,#VALUE!,#VALUE!,https://www.goldengate.org/bus/route-schedule/fairfax/manor-san-francisco-24/?backurl=%2Fbus%2Fschedules-maps%2F,6
19/01/2020,7-100014-74-Editor+Agency-ALL,ASAP,Editor+Agency,7,100014,74,"Title:
Publication date: 16/01/2020 01:46
Agency: Golden Gate Transit
Lines: 74
Raw line numbers:
Alert type: Modified service","Southbound Monday - Friday See Route 72 for additional service from Santa Rosa.
Northbound Monday - Friday See Route 72 for additional service to Santa Rosa.
STOP AT PERRY 4TH NOT SERVED UNTIL FURTHER NOTICE
The San Francisco drop-off bus stop at Perry 4th streets is under construction and will not be served until further notice. Until then, the last drop-off stop is at 4th Folsom streets.

GET GOLDEN GATE TRANSIT SERVICE ALERTS
Stay informed of Golden Gate Transit service alerts and trip cancellations by following @GoldenGateBus on Twitter and using Transit app! On Transit app, be sure to favorite your most frequent routes and enable push notifications. Learn the basics with this Transit app booklet.

NORTHBOUND STOP AT FOLSOM 2ND TEMPORARILY CLOSED
Until further notice (posted Oct. 10, 2019), the northbound pick-up stop at Folsom 2nd in San Francisco is temporarily CLOSED. During this time, passengers are directed to nearby stops at Perry 3rd and Fremont nearside Howard.

MLK DAY - GGT OPERATING REGULAR WEEKDAY SERVICE
On Martin Luther King Jr. Day, Monday, Jan. 20, 2020, Golden Gate Transit buses will operate regular weekday service. Larkspur Ferry shuttle Route 25 will NOT operate. Visit our Bus Schedules Maps section for timetables and route maps.","STC: San Fransisco, Golden Gate Transit Stops: Perry St & 4th St & Folsom St & Second St are closed for all buses --UNTIL FURTHER NOTICE --. -Yeashai M.",Resolved,19/01/2020 18:11,Yeashai,#VALUE!,#VALUE!,16/01/2020 1:46, Golden Gate Transit,https://www.goldengate.org/bus/route-schedule/santa-rosa-san-francisco-74/,ALL
19/01/2020,7-100014-18-Editor+Agency-ALL,ASAP,Editor+Agency,7,100014,18,"Title:
Publication date: 16/01/2020 01:46
Agency: Golden Gate Transit
Lines: 18
Raw line numbers:
Alert type: Modified service","Southbound Monday - Friday See Route 27 for additional bus pad service. *Bus Pad times are approximate.
Northbound Monday - Friday See Route 27 for additional bus pad service. *Bus Pad times are approximate.
STOP AT PERRY 4TH NOT SERVED UNTIL FURTHER NOTICE
The San Francisco drop-off bus stop at Perry 4th streets is under construction and will not be served until further notice. Until then, the last drop-off stop is at 4th Folsom streets.

NORTHBOUND STOP AT FOLSOM 2ND TEMPORARILY CLOSED
Until further notice (posted Oct. 10, 2019), the northbound pick-up stop at Folsom 2nd in San Francisco is temporarily CLOSED. During this time, passengers are directed to nearby stops at Perry 3rd and Fremont nearside Howard.

MLK DAY - GGT OPERATING REGULAR WEEKDAY SERVICE
On Martin Luther King Jr. Day, Monday, Jan. 20, 2020, Golden Gate Transit buses (including Ferry Shuttle Route 25) will operate regular weekday service. Visit our Bus Schedules Maps section for timetables and route maps.","STC: San Fransisco, Golden Gate Transit Stops: Perry St & 4th St & Folsom St & Second St are closed for all buses --UNTIL FURTHER NOTICE --. -Yeashai M.",Resolved,19/01/2020 18:11,Yeashai,#VALUE!,#VALUE!,16/01/2020 1:46, Golden Gate Transit,https://www.goldengate.org/bus/route-schedule/college-of-marin-san-francisco-18/,ALL
19/01/2020,7-100014-58-Editor+Agency-ALL,ASAP,Editor+Agency,7,100014,58,"Title:
Publication date: 16/01/2020 01:46
Agency: Golden Gate Transit
Lines: 58
Raw line numbers:
Alert type: Modified service
","Southbound Monday - Friday *Bus Pad times are approximate.
Northbound Monday - Friday *Bus Pad times are approximate.
STOP AT PERRY 4TH NOT SERVED UNTIL FURTHER NOTICE
The San Francisco drop-off bus stop at Perry 4th streets is under construction and will not be served until further notice. Until then, the last drop-off stop is at 4th Folsom streets.

NORTHBOUND STOP AT FOLSOM 2ND TEMPORARILY CLOSED
Until further notice (posted Oct. 10, 2019), the northbound pick-up stop at Folsom 2nd in San Francisco is temporarily CLOSED. During this time, passengers are directed to nearby stops at Perry 3rd and Fremont nearside Howard.

MLK DAY - GGT OPERATING REGULAR WEEKDAY SERVICE
On Martin Luther King Jr. Day, Monday, Jan. 20, 2020, Golden Gate Transit buses (including Ferry Shuttle Route 25) will operate regular weekday service. Visit our Bus Schedules Maps section for timetables and route maps.","STC: San Fransisco, Golden Gate Transit Stops: Perry St & 4th St & Folsom St & Second St are closed for all buses --UNTIL FURTHER NOTICE --. -Yeashai M.",Resolved,19/01/2020 18:11,Yeashai,#VALUE!,#VALUE!,16/01/2020 1:46, Golden Gate Transit,https://www.goldengate.org/bus/route-schedule/hamilton/novato-san-francisco-58/,ALL
