Key,Area Name,Area ID,Lowest Value DS ID - Default DS,Key Count,Area Manger Name,Area Manager EMail,State / Country Name (foriegn key),State Country ID (foriegn key)
22A1R,"San Fransisco SF Bay Area, CA",22,7,1,,,,
81A1R,"Chicago, IL",81,14,1,,,,
121A1R,NYC-NJ,121,25,1,,,,
141A1R,"Boston, MA",141,28,1,,,,
142A1R,"Washington, DC-Baltimore",142,113,1,,,,
143A1R,Toronto,143,32,1,,,,
145A1R,"Greater Vancouver, BC",145,35,1,,,,
302A1R,"Los Angeles, CA",302,109,1,,,,
522A1R,Seattle,522,136,1,,,,
522A2R,"Seattle–Tacoma–Bellevue, WA",522,1943,1,,,,
662A1R,Paris,662,342,1,,,,
747A1R,"Denver & Boulder, CO",747,296,1,,,,
822A1R,"Denver & Boulder, CO",822,296,1,,,,
1182A1R,Las Vegas,1182,540,1,,,,
1322A1R,Cincinnati,1322,562,1,,,,
1663A1R,Berlin,1663,1666,1,,,,
2122A1R,London and South East,2122,1145,1,,,,
